latitude,longitude,bg_weight
40.71,29.23,1.0
40.6,29.08,0.5674814178530161
40.61,29.07,8.609995971287088e-05
40.61,29.08,3.587122086068373e-05
40.63,29.07,0.0004581024996144212
40.62,30.09,1.0
40.55,27.15,1.0
40.62,29.07,0.0003125877234857466
40.73,29.06,0.03179312615514496
40.61,29.08,0.00031015148705382245
40.35,29.37,0.9254195511247232
40.59,29.03,0.00788565910421346
40.02,28.72,1.0
39.63,29.45,1.0
40.82,29.26,0.49431253570979894
40.79,28.17,1.0
40.77,30.19,0.9004254471040013
40.82,28.09,0.07638013546730393
40.66,29.26,0.15054035347482364
40.66,29.27,1.2045396112658757e-05
40.99,30.51,0.9755531489699928
39.66,28.41,0.9948715755860995
41.45,29.47,1.0
40.25,28.85,0.949143247424647
40.19,27.39,0.9965912485085893
39.79,30.46,1.0
39.62,27.68,1.0
40.74,30.57,0.9578534455594878
40.82,27.78,0.9496602554554003
40.78,30.87,0.6441828192242066
40.2,27.44,0.03972748145419469
40.73,27.51,0.7605582853836228
39.75,30.8,0.9758491588777899
40.42,27.07,0.8925139688044315
40.14,29.31,0.9729818608043037
40.11,29.35,7.054074783485742e-05
40.84,27.88,0.2884733973692847
40.08,29.34,0.013155041277281398
40.09,29.34,0.00015918359694877537
40.74,27.6,0.27779315470509514
40.67,29.25,0.005292452987522678
40.72,29.28,0.006997756475887518
40.47,26.15,1.0
39.67,29.45,0.13976920600257514
39.63,29.44,0.0048799959734568965
39.81,30.52,0.15482856682632562
40.83,27.94,0.05872100742915165
40.79,27.94,0.005940123346742654
39.67,29.49,0.010644301849758175
39.67,29.46,0.000529841890458238
40.82,27.82,0.023029874916205006
39.65,29.41,0.004857252929944433
39.73,29.46,0.010463133820770909
39.71,29.44,5.213789084101972e-05
39.74,29.48,0.00012759238935589057
40.47,29.19,0.6458100896247254
39.8,28.66,0.9757195571955881
40.83,30.89,0.11548371047552886
40.65,29.1,0.027482359385758603
40.64,29.14,0.0002697460160475673
40.81,27.69,0.1314108990880014
40.06,29.38,0.01856694126490832
40.63,29.11,0.0011584607892617393
40.68,28.65,0.8627225855622473
40.45,28.36,0.9416861440880102
40.81,28.01,0.05925709171698068
40.59,27.22,0.48317227890838754
40.82,27.84,0.004693392141448038
40.65,29.16,0.005150832605254729
40.55,29.3,0.055126702902653424
40.85,28.69,0.8010924917145062
40.7,28.71,0.053963371513348846
40.68,29.2,0.00799814667148302
39.68,29.44,0.003863966730669688
40.7,28.62,0.01893744249400031
40.5,29.18,0.04353404851510301
40.66,30.62,0.5686934553860257
40.71,30.61,0.0004040297084276778
40.81,30.63,0.026824880209440738
40.7,30.6,0.0001191086468087521
40.74,30.62,0.00026654122094693644
40.7,30.62,4.833565437711851e-05
40.67,30.57,0.00013182074098194718
40.66,29.15,0.0026388026867669723
40.43,28.56,0.8191075221196678
40.6,27.67,0.7748999869130823
39.66,29.44,0.002972173878224238
40.71,30.57,0.0008300518171243665
40.78,30.67,0.0012801742321739695
40.72,30.55,0.00014407951117978435
40.69,30.52,0.00042928018272458957
40.56,30.71,0.050675014410893615
40.67,30.61,0.0005324604223738705
40.65,30.57,0.0004305784960382253
40.72,30.59,0.00030636543591255894
41.11,30.14,0.9124164643745342
40.7,27.83,0.35255672152053363
40.64,30.55,0.0016285846846650909
40.43,28.43,0.16260158679251902
40.66,30.56,0.0005492555989615733
40.72,30.62,0.0007551850236444668
39.63,29.41,0.009022561400866325
40.72,30.6,0.00030136310923434273
40.44,29.09,0.3091675817472631
39.67,28.48,0.457008772024006
39.68,29.38,0.016758105834765225
40.04,28.6,0.7907986227356405
39.67,29.46,0.0023176163196600985
39.66,29.43,2.532765151708194e-05
40.62,27.86,0.23791000004152885
39.65,29.43,0.0005121011304608514
39.97,28.74,0.2468410036048947
39.96,28.75,2.0563740276480225e-05
39.97,28.8,0.0003579472362164049
39.95,28.75,4.241654255021654e-05
39.96,28.74,4.5165803342905875e-06
39.94,28.79,0.0001203491048155092
39.94,28.76,3.6326243309514616e-05
39.83,29.21,0.33656596683604856
40.12,28.79,0.04003154905443318
39.93,28.75,0.0001298473766970787
40.74,30.62,0.0011521662181712689
39.94,28.77,0.00011204979567835949
39.93,28.76,9.241777401403084e-05
39.95,28.72,0.00017713301898591993
40.36,29.12,0.22557962016290312
39.93,28.78,0.0001260218081073905
39.96,28.77,0.00016410191674365304
39.96,28.71,0.00028786023381000003
39.94,28.79,0.0002298890615979321
40.42,28.82,0.6815283767099991
40.3,29.32,0.3851945828261061
39.94,28.74,0.00027867764125477645
40.81,27.85,0.00839930601796901
40.25,29.1,0.23517828408446118
39.96,28.75,0.0001683687894700192
40.49,27.53,0.7698861885554683
40.83,28.31,0.8119871802712787
40.66,30.53,0.003077103531509584
39.64,28.62,0.5146868348975022
39.67,29.46,0.0011964300482252277
40.75,30.62,0.0013450411096735948
39.75,26.49,0.9998763263348941
40.63,30.64,0.012273668702529661
39.62,29.36,0.025474847984484184
40.22,28.79,0.2559033259792154
39.73,27.61,0.9057349857165783
39.61,29.39,0.0023259351297533204
39.93,28.14,0.9316315805401666
40.71,30.59,0.0009204350218270374
39.6,29.42,0.0033274475153750593
39.67,29.52,0.004258467950211342
40.25,27.75,0.9507562219385968
40.83,27.73,0.05493803047170076
40.68,27.88,0.06249087395754227
40.74,30.66,0.0040091497825875955
40.17,28.77,0.04923198802541717
40.78,30.87,0.007978001819072822
40.16,28.69,0.03854933040501485
40.6,28.98,0.1302903861403657
40.82,28.18,0.0912994905356318
40.73,30.62,0.000612505026192367
40.66,30.58,0.0013445712307952329
40.72,30.64,0.0004416992452526136
40.47,30.26,0.6947993521160543
40.67,30.63,0.0014759706921935178
39.81,28.64,0.033191548518407554
40.83,28.17,0.0007242607189618111
39.67,29.46,0.0011174882987368129
39.72,30.78,0.10669320984837938
39.71,28.46,0.09795906139596222
40.2,27.4,0.021382508111681076
40.49,29.3,0.25134745623220833
40.62,27.86,0.006193958261912269
39.61,29.34,0.010067386098279063
39.61,29.41,0.0002999840087350991
40.39,27.31,0.8068556349577451
40.74,28.35,0.4280033174772565
40.83,28.34,0.014668329140527514
40.73,30.57,0.0019268949668891366
39.92,26.81,0.9861681994003271
40.77,30.26,0.35161786707875486
40.64,27.27,0.40081409804199863
41.08,29.32,0.9888566622590544
39.65,29.44,0.0020669435121726254
39.69,29.46,0.0006886537983595842
40.12,29.31,0.027403850868418345
39.72,29.52,0.013228181878495948
39.69,29.48,0.00010656090503513571
39.65,29.45,0.00024825542267448153
39.63,29.44,7.792754296298554e-05
39.73,30.18,0.9847776781173979
39.71,30.19,0.001959243239851971
40.64,29.01,0.052729194202938756
39.9,28.95,0.4135328998306582
41.05,29.31,0.017239392002760368
40.75,27.51,0.0535577634814115
40.77,29.08,0.22375131668443637
39.71,30.87,0.2631539507403182
40.59,27.27,0.05114227911114999
40.6,29.11,0.01621958188332384
40.84,28.61,0.3738554804386849
39.97,27.8,0.9580933052132607
40.63,29.07,0.0025819594078234642
40.67,27.48,0.08078215780658327
39.94,28.61,0.14962426144135188
40.45,28.8,0.083148472564754
40.8,28.85,0.2806397781064076
39.69,30.61,0.6202956679474819
40.47,27.56,0.05744437446737438
40.44,27.76,0.5483835063302107
40.85,29.18,0.2866958137109341
40.55,29.22,0.1134478589993656
40.65,28.93,0.08854072534776658
40.72,29.03,0.03807569467830563
40.12,26.64,0.9700545562024437
40.16,29.18,0.48461550065170567
39.7,29.46,0.002723123681786288
39.6,29.45,0.005290094256019451
40.16,28.75,0.022562059429252157
41.05,28.9,0.8591916755082316
40.34,29.11,0.036036274863743056
39.66,29.46,0.0013454421740803912
40.28,27.28,0.5799491624184143
39.81,26.3,0.9136956947926399
39.94,27.15,0.9056484474691738
39.63,29.39,0.004920930485243669
39.68,27.9,0.9484905455318813
40.81,29.45,0.7905843130532016
40.83,29.21,0.022000647952769903
39.79,27.85,0.25553418114739357
40.22,28.77,0.022472890613486896
39.67,29.42,0.002627678323548377
39.62,29.46,0.0008668420821951184
40.03,28.75,0.04148116808154445
40.21,28.75,0.001248211884787076
40.65,29.1,0.007318154838354185
40.49,27.09,0.4841598761984214
40.27,27.36,0.08545227560098645
39.91,28.71,0.023008348862801897
40.42,28.8,0.02017798483812272
39.65,25.76,0.9994583934146444
40.19,28.81,0.01663300116935562
39.62,29.36,0.0036602142067140297
40.35,28.17,0.9459711292002726
39.61,29.55,0.054176869660204185
40.04,28.94,0.30656167057011596
40.12,28.57,0.31222749248389814
40.76,28.9,0.14895526743691379
40.83,27.68,0.041733893882831885
39.99,29.07,0.20212300746640477
40.78,28.88,0.0003925612833732828
